类型,台站名称,net,sta,long,lat
长白山火山,长白台,JL,CBT,128.17,41.42
长白山火山,东大坡,JL,DDP,128.1,42.05
长白山火山,横山台,JL,HSH,128.1,40.73
长白山火山,漫江台,JL,MJT,127.59,41.95
长白山火山,气象站,JL,QXZ,128.07,42.03
长白山火山,山门台,JL,SMT,128.17,42.19
长白山火山,双目峰,JL,SMF,128.27,42.03
长白山火山,维东台,JL,WDT,128.02,41.99
长白山火山,西大坡,JL,XDP,128.04,42.06
长白山火山,中心台,JL,ZXT,128.11,42.41
国家台,阿尔山,NM,ARS,119.95,47.17
国家台,阿古拉,NM,AGL,122.63,43.3
国家台,安康(国),SN,ANKG,109.04,32.67
国家台,安西,GS,AXX,95.8,40.52
国家台,巴楚,XJ,BCH,78.78,39.79
国家台,巴里坤,XJ,BKO,93.01,43.52
国家台,巴塘,SC,BTA,99.12,30.01
国家台,白家疃,BU,BJT,116.17,40.02
国家台,包头,NM,BTO,109.88,40.74
国家台,宝昌,NM,BAC,115.27,41.9
国家台,宾县,HL,BNX,127.4,45.74
国家台,察隅,XZ,CHY,97.47,28.66
国家台,昌都,XZ,CAD,97.17,31.14
国家台,昌黎,HE,CLI,119.1,39.76
国家台,长白山站,JL,CBS,128.07,42.07
国家台,长春台,JL,CN2,125.45,43.8
国家台,长沙,HN,CNS,112.93,28.18
国家台,成都,SC,CD2,103.76,30.91
国家台,沱沱河,QH,TTH,92.32,34.22
